@relation finished-data
@attribute tweets string
@attribute feeling{Negative,Positive}

@data
'Aþk acýlarýnýzý buraya yazmayýn mk sevgilim yok ama ben üzülüyorum sizin yüzünüzden',Positive
'her sabah erkenden uyanýp son görülmesini kontrol edeceðim bir sevgilim olsun artýk',Positive
'Eski sevgilim tam bir mafya.',Positive
'Bak bir pazar sabahýna daha sevgilim, ayrý hayatlar da uyandýk.',Negative
'Sevgilim beni kaybettin artýk aþkýný söküp attým YýldýzTilbe',Negative
'Çýk gel sevgilim, Ellerinde papatyalar Bir pazar, Bir bahar müjdesi gibi çýk gel.',Negative
'Kötüsün sevgilim, sevmeyi bile bilmeyecek kadar kötüsün.',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Bana durup dururken bunlarý atabilecek sevgilim olsa keske',Positive
'Tamam sevgilim deðilsin ama bu; Seni sevmediðim, kýskanmadýðým, özlemediðim anlamýna gelmez, gelemez.',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'sana inanmak istemiþtim ama yanýlmakta da sevdaya dahil sevgilim.',Negative
'Sevgilim yok , sevdiðim yok. Günlüðüm çok boþ kaldý.',Negative
'günaydýn aþkým nasýlsýn sevgilim her yerinden opuyorum',Positive
'Çýk gel sevgilim, Ellerinde papatyalar Bir pazar, Bir bahar müjdesi gibi çýk gel.',Negative
'Hiç unutmam eskiden sevgilim Facebook þifremi istemiþti vermezsen ayrýlýrým demiþti. þifreyi verdim mesajlarý falan okudu yine ayrýldý aq.',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Günaydýn sevgilim',Positive
'Neyse eski sevgilim der geçerim ??',Positive
'benim bi sevgilim vardý 1.50 ayný böyleydik jsjs',Positive
'ya beyler þu eski sevgilim dersin havan olur havanýzdan vazgeçin ben bunu bir arkadasýma desem bunu mu sevdin amk kýzý di…',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'108. Yaþýn kutlu olsun sevgilim!',Negative
'Sevgilim varken kendimi herkese herþeye kapatýr arkadaþsýz kalýrým.sevgilim terkedince arkadaþlarýma yaptýk bi hata siz haklý…',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Benim kelime hazinem çok geniþtir, derdim. Senin bir kelimene yetemedim; git, ne demekti sevgilim?',Negative
'Biri var eski sevgilim',Positive
'Ya þu deplasman snaplerini ss alýcam eski sevgilim diye çekiniyorum böyle bir tatlýlýk olabilir mi ya',Positive
'Benim sevgilim uyanýcak inþallah :)',Positive
'Günaydýn sevgilim.',Negative
'Þule nin bana sevgili bulmasý için iþaret olabilir. Ya da anca rüyalarda bi sevgilim olacaðý iþarettir. .',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'Eski sevgilim adýnýn baþýna Z harfi koymuþtu þimdi 60 gün boyunca deðiþemeyecek nihahaha Saðol Mark -Zeynep',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'1 Ay olmasina raðmen hayatýmý tamamen deðistrip tekrar aski bagliligi öðreten sevgilim. Iyiki varsin iyiki benimlesin lan ruh öküzümmm ??????',Negative
'Sanada günaydýnnnnn olmayan sevgilim ??',Positive
'Caným sevgilim uyanýrmýsýn',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'Çýk gel sevgilim, Ellerinde papatyalar bir pazar sabahý, Bir bahar müjdesi gibi çýk gel.',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'Üþüdüysen HDPyi yakýyým sevgilim HDP',Positive
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'Kuþlarý boþ ver sevgilim, papatya koysunlar yoluna.',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'nikahýna beni çaðýr sevgilim istersen þahidin olurum senin BestFandomCA2015 Directioners',Positive
'Bir sevgilim olana kadar tek sevdicek babam diyip bi ergenlik yapmicam tabikide??',Positive
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'Çýk gel sevgilim, Ellerinde papatyalar Bir pazar, Bir bahar müjdesi gibi çýk gel.',Negative
'Sevgilim sanada günaydýn',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Anla beni ve tut elimi… Yürüyelim birlikte bu sevdanýn yolunda. Bu aþk bize çok yakýþýyor sevgilim. Yakýþaný üzerinde…',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim. ilginç sen ben o kimse!!!',Positive
'Þebnem Ferah-Günaydýn Sevgilim',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'sevgilim yok ama konuþtuðum biri var tiþörtü',Positive
'SEVGÝLÝM OLMAYINCA BEN AHAHA NASILIM? sexhikaye sekshikaye pornohikaye',Negative
'Bir aralar gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Sevgilim olsun tüp taktýrýcam.',Negative
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Yanýma koþ sevgilim.. Hemen çýk gel. Býrak her þeyi, bir bekleyenim var de gel.',Negative
'Sen aþký çiçek,böcek,güneþ,bulut sanmýþsýn sonra neden sevgilim yok diyosun olum doða terimleriyle mi yarýþýyon bu nasýl benzetmeler?',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Caným sen sevgilim diye her yerde afiþe ediyosun gözümüze sokuyorsun da sevgiline bu kýz kim dediðimizde bi tanýdýk ya önemsiz diyor ???',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'np Saian-Al Sevgilim Anne Ol Bununla',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Tabiki sevgilim benden baþkasýný favlayabilir. Ne bileyim nat geodan doða fotolarýný, kedi köpek fotolarýný favlayabilir Sor…',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Ruyamda sevgilim tabak tabak sariyer boregi ismarliyordu sariyerde cay da vardi ..ruyamda ruyamda gunaydiiiiiiiinnnn',Positive
'Ateist sevgilim kimseyle konusmadigina dair yemin etti??????canim sevgilim sana guveniyorum??????',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Sirf sevgilim icin yaziyorum kiþisel algilama -_- ActorJangComeBack',Positive
'Üþüdüysen hdp bayraðý yakayým sevgilim ?',Positive
'Sensiz 1. Ayým sevgilim',Positive
'Bi sevgilim oldugunda kahvaltiya koclara götürcem olm ya cok romantigim ya üf ya',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Burnunda tütmek deyimini sayende daha iyi anlýyorum sevgilim.',Negative
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tanrý kimseye yakýnýna ayarliym diyip sonrada onu sevgilim diye lanse edebilme leþliðini vermesin. O nasýl bisey yahu. Grup stylaaa',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Anne gülüyorum ama sevgilim yok valla twitterdayým gel bak istersen.',Positive
'Keþke kendim gibi bir sevgilim olsa. Çok iyi anlaþýrýz lan.',Positive
'Vee veee 11. Ayýmýz kutlu ve mutlu olsun sevgilim iyi ki benimsin canýmýn içiii seni çok seviyorum ¦?????',Positive
'Çýk gel sevgilim, Ellerinde papatyalar Bir pazar, Bir bahar müjdesi gibi çýk gel.',Negative
'Sanki bilmiyorsun sevgilim duamda en çok sana yer verdiðimi...',Positive
'Sevgilim varken kendimi herkese herþeye kapatýr arkadaþsýz kalýrým.sevgilim terkedince arkadaþlarýma yaptýk bi hata siz haklýymýþsýnýz derim',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'Günaydýn caným sevgilim ve kölelerrr',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
